open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1756684800000,0.0096434,0.0096473,0.0096004,0.0096064,335617489,1756685099999,3230668.4098086,9381,143253145,1379804.4344789,0
1756685100000,0.0096065,0.0096476,0.0095800,0.0096292,588849310,1756685399999,5660484.4223629,10423,268048200,2579141.4356979,0
1756685400000,0.0096291,0.0096340,0.0096120,0.0096212,185062527,1756685699999,1780918.0752545,5460,124408563,1197176.8277702,0
1756685700000,0.0096210,0.0096439,0.0096170,0.0096232,166077593,1756685999999,1599813.6090769,5036,108732351,1047345.9153490,0
1756686000000,0.0096233,0.0096263,0.0095985,0.0096063,188677037,1756686299999,1813496.0245747,5592,78205317,751786.3197544,0
1756686300000,0.0096064,0.0096091,0.0095563,0.0095881,507946572,1756686599999,4866354.1627228,11868,221467865,2122157.7497757,0
1756686600000,0.0095886,0.0095972,0.0095520,0.0095662,276448583,1756686899999,2646421.2665254,7910,125529877,1201895.7493052,0
1756686900000,0.0095654,0.0095699,0.0095171,0.0095307,772449691,1756687199999,7367212.6871653,15064,290273171,2769577.5202493,0
1756687200000,0.0095309,0.0096171,0.0095273,0.0095965,585195698,1756687499999,5608778.6679626,9197,410152577,3930818.6410813,0
1756687500000,0.0095964,0.0096393,0.0095863,0.0095994,383699302,1756687799999,3688769.6653012,8534,224227895,2156008.8551172,0
1756687800000,0.0095995,0.0096292,0.0095736,0.0096214,252330508,1756688099999,2423232.2624213,6757,139732752,1342405.9363306,0
1756688100000,0.0096214,0.0096367,0.0096029,0.0096085,112482696,1756688399999,1082041.3394547,4716,55179874,530822.5052582,0
1756688400000,0.0096087,0.0096380,0.0095936,0.0096143,181054950,1756688699999,1740650.8582578,6246,80317043,772334.4624794,0
1756688700000,0.0096135,0.0096299,0.0095746,0.0095787,204930296,1756688999999,1967256.8022012,5975,75971846,729478.8594749,0
1756689000000,0.0095778,0.0095914,0.0095573,0.0095875,207558852,1756689299999,1986902.3755877,5737,82624205,791072.9174838,0
1756689300000,0.0095869,0.0096165,0.0095586,0.0095974,130050417,1756689599999,1247156.2651438,5223,71225960,683159.0028035,0
1756689600000,0.0095973,0.0096097,0.0095809,0.0095937,150312373,1756689899999,1442322.7162452,5519,83216940,798525.6864144,0
1756689900000,0.0095936,0.0096281,0.0095887,0.0096210,196264180,1756690199999,1886861.7311842,5273,91683251,881661.4196793,0
1756690200000,0.0096210,0.0096463,0.0096131,0.0096242,207717225,1756690499999,2000233.2450127,6942,119790950,1153697.2970870,0
1756690500000,0.0096241,0.0096574,0.0096177,0.0096340,281115430,1756690799999,2709810.6976528,7954,135632126,1307454.4915203,0
1756690800000,0.0096340,0.0096558,0.0096176,0.0096501,178990112,1756691099999,1724995.1298848,4780,117169915,1129177.7368433,0
1756691100000,0.0096500,0.0096760,0.0096302,0.0096335,221012701,1756691399999,2134205.9808477,6714,131007509,1265390.3120843,0
1756691400000,0.0096334,0.0096334,0.0095865,0.0095903,179738478,1756691699999,1727053.1327598,6047,55766374,535925.0060861,0
1756691700000,0.0095909,0.0096188,0.0095891,0.0096141,104632459,1756691999999,1005327.0218712,3916,39063736,375342.7955999,0
1756692000000,0.0096145,0.0096179,0.0095841,0.0095841,169573457,1756692299999,1628320.6680342,5359,52208623,501470.8433418,0
1756692300000,0.0095842,0.0096011,0.0095771,0.0095866,157338285,1756692599999,1508630.2401783,4672,67364729,646071.9703952,0
1756692600000,0.0095866,0.0095888,0.0095456,0.0095568,317872622,1756692899999,3038762.5912859,5834,93792041,896473.4833739,0
1756692900000,0.0095568,0.0095758,0.0095445,0.0095592,243566684,1756693199999,2327484.5426347,5365,95904031,916555.2337242,0
1756693200000,0.0095592,0.0095626,0.0095211,0.0095265,235820973,1756693499999,2249632.6486723,5634,68922619,657690.4674989,0
1756693500000,0.0095266,0.0095316,0.0094588,0.0095027,1553129763,1756693799999,14737444.5457835,21734,563106324,5343421.8063676,0
1756693800000,0.0095026,0.0095043,0.0094651,0.0094681,426989628,1756694099999,4047773.5126412,9289,156022625,1478702.1075529,0
1756694100000,0.0094675,0.0094997,0.0094649,0.0094835,222730814,1756694399999,2111173.3859369,5729,121262916,1149831.8168984,0
1756694400000,0.0094829,0.0094869,0.0094742,0.0094799,98056109,1756694699999,929783.2992307,3695,44261502,419697.6482669,0
