open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1746057600000,94125.20,94190.40,94086.70,94190.30,221.954,1746057899999,20893137.51290,5083,116.698,10985297.30080,0
1746057900000,94190.30,94257.00,94119.60,94257.00,381.956,1746058199999,35978526.23720,6741,170.999,16107081.50830,0
1746058200000,94256.90,94299.30,94216.20,94223.60,247.201,1746058499999,23303240.57750,4579,112.519,10607217.65360,0
1746058500000,94223.70,94271.20,94154.60,94187.90,124.578,1746058799999,11735834.47400,3178,69.251,6524350.97330,0
1746058800000,94187.80,94218.90,94127.00,94218.80,179.076,1746059099999,16863827.49870,3350,94.136,8864929.12540,0
1746059100000,94218.90,94281.90,94201.30,94238.70,145.384,1746059399999,13701585.73370,3510,93.920,8851130.43470,0
1746059400000,94238.60,94250.00,94165.30,94212.20,149.635,1746059699999,14096591.53430,3739,48.648,4583052.29930,0
1746059700000,94212.10,94243.00,94169.00,94205.10,113.292,1746059999999,10673384.28770,3153,43.470,4095295.91640,0
1746060000000,94205.10,94248.60,94205.10,94239.30,80.625,1746060299999,7598128.88730,2095,47.946,4518460.33520,0
1746060300000,94239.30,94332.50,94239.20,94326.20,210.547,1746060599999,19856000.28940,3643,125.171,11803606.50330,0
1746060600000,94326.30,94345.00,94300.60,94329.70,219.443,1746060899999,20700091.97880,3130,72.438,6833005.07730,0
1746060900000,94329.80,94358.90,94267.60,94358.90,334.496,1746061199999,31544037.99650,4180,162.724,15345819.04130,0
1746061200000,94358.90,94450.00,94343.40,94449.90,281.887,1746061499999,26610729.60790,4871,177.731,16778026.98330,0
1746061500000,94450.00,94554.90,94400.00,94506.70,658.642,1746061799999,62235994.36820,9289,373.651,35308899.44900,0
1746061800000,94506.70,94520.10,94448.20,94485.50,305.782,1746062099999,28896451.22830,4757,129.601,12247326.76980,0
1746062100000,94485.50,94646.90,94463.10,94600.10,694.836,1746062399999,65728632.98800,9499,324.712,30714722.69350,0
1746062400000,94600.00,94653.30,94534.50,94576.50,306.195,1746062699999,28969232.19730,5473,135.978,12864688.75830,0
1746062700000,94576.50,94624.80,94560.00,94586.90,202.332,1746062999999,19140061.35790,3741,89.250,8443073.36010,0
1746063000000,94586.90,94641.50,94548.10,94631.00,263.980,1746063299999,24972839.71540,4385,127.311,12044758.89000,0
1746063300000,94631.00,94656.10,94518.00,94518.10,499.572,1746063599999,47266765.74600,5805,208.504,19726946.97310,0
1746063600000,94518.10,94662.60,94436.10,94660.00,644.872,1746063899999,60938791.96200,7873,376.799,35606069.46530,0
1746063900000,94660.00,94660.00,94535.80,94545.20,296.274,1746064199999,28026552.04710,5135,68.564,6484919.55640,0
1746064200000,94545.30,94607.60,94522.40,94606.20,150.076,1746064499999,14192535.35920,3099,94.746,8960328.43860,0
1746064500000,94606.10,94647.50,94531.20,94598.70,222.908,1746064799999,21084853.38920,4529,116.692,11038172.44640,0
1746064800000,94598.80,94643.70,94563.00,94631.00,230.418,1746065099999,21797821.23480,4821,106.265,10052296.64400,0
1746065100000,94631.00,94798.50,94607.40,94723.00,979.893,1746065399999,92809212.55560,11784,610.353,57805244.47600,0
1746065400000,94723.10,94773.40,94655.00,94657.70,350.532,1746065699999,33203838.34640,5315,118.713,11245449.65690,0
1746065700000,94657.70,94741.60,94657.70,94722.30,299.988,1746065999999,28411502.69630,4760,106.982,10132081.39260,0
1746066000000,94722.20,94768.00,94720.00,94760.90,238.325,1746066299999,22577660.27600,3678,119.311,11302864.88040,0
1746066300000,94760.90,94915.10,94744.10,94889.80,2381.911,1746066599999,225949360.11290,15802,1863.784,176790525.80810,0
1746066600000,94889.80,94919.60,94825.30,94852.60,396.502,1746066899999,37617958.36790,6155,163.271,15489701.12570,0
1746066900000,94852.60,94939.40,94852.60,94881.50,525.285,1746067199999,49856575.60810,10219,311.466,29561926.02490,0
