open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1740787200000,3.0660,3.0720,3.0560,3.0650,246374,1740787499999,754929.3770,2058,122653,375890.7780,0
1740787500000,3.0650,3.0760,3.0650,3.0700,113712,1740787799999,349153.5950,1260,65389,200734.0180,0
1740787800000,3.0700,3.0860,3.0670,3.0840,61657,1740788099999,189619.9950,1085,44574,137081.5910,0
1740788100000,3.0850,3.0920,3.0790,3.0810,146734,1740788399999,452718.2050,1529,61627,190187.4440,0
1740788400000,3.0810,3.0840,3.0730,3.0760,49635,1740788699999,152764.1840,819,33451,102953.1730,0
1740788700000,3.0760,3.0780,3.0720,3.0760,45080,1740788999999,138628.8470,728,19339,59476.5470,0
1740789000000,3.0750,3.0880,3.0690,3.0800,208981,1740789299999,643800.2420,1927,133836,412248.3920,0
1740789300000,3.0810,3.0830,3.0710,3.0720,53066,1740789599999,163319.1440,959,24498,75405.7450,0
1740789600000,3.0710,3.0710,3.0600,3.0650,65893,1740789899999,202014.5960,1053,26308,80654.8850,0
1740789900000,3.0650,3.0760,3.0640,3.0710,35853,1740790199999,110050.6200,798,19662,60338.5210,0
1740790200000,3.0710,3.0730,3.0550,3.0570,63397,1740790499999,194140.7660,934,24391,74698.0520,0
1740790500000,3.0580,3.0600,3.0520,3.0550,73724,1740790799999,225284.0900,848,31206,95368.9910,0
1740790800000,3.0550,3.0640,3.0510,3.0600,128541,1740791099999,393125.4530,1520,67856,207571.2910,0
1740791100000,3.0590,3.0610,3.0480,3.0500,65116,1740791399999,198886.9360,996,21960,67124.7630,0
1740791400000,3.0500,3.0650,3.0490,3.0600,69928,1740791699999,213822.7470,953,45667,139685.3440,0
1740791700000,3.0610,3.0750,3.0580,3.0750,44608,1740791999999,136800.4460,820,23501,72086.8760,0
1740792000000,3.0750,3.0750,3.0670,3.0680,25209,1740792299999,77392.8120,565,12266,37654.2550,0
1740792300000,3.0690,3.0700,3.0610,3.0650,86731,1740792599999,265842.5820,847,24942,76476.8500,0
1740792600000,3.0650,3.0780,3.0610,3.0780,75335,1740792899999,231161.3820,984,53939,165542.3220,0
1740792900000,3.0770,3.0820,3.0700,3.0770,68302,1740793199999,210131.3700,888,33088,101827.8400,0
1740793200000,3.0780,3.1000,3.0760,3.0990,106217,1740793499999,328371.1540,1239,73055,225875.7130,0
1740793500000,3.0990,3.1150,3.0940,3.1130,180544,1740793799999,561033.0150,2011,121837,378762.9560,0
1740793800000,3.1130,3.1280,3.1060,3.1270,263050,1740794099999,820976.6630,2447,158803,495754.0490,0
1740794100000,3.1260,3.1420,3.1210,3.1330,403261,1740794399999,1263876.2890,2848,137859,431958.4720,0
1740794400000,3.1330,3.1360,3.1220,3.1300,183195,1740794699999,573282.0150,1937,88382,276613.3090,0
1740794700000,3.1290,3.1300,3.1150,3.1260,110578,1740794999999,345231.9230,1309,68894,215088.2400,0
1740795000000,3.1250,3.1430,3.1240,3.1420,130420,1740795299999,408975.4510,1552,83000,260311.2340,0
1740795300000,3.1410,3.1450,3.1180,3.1350,209036,1740795599999,653889.1870,2157,88784,277887.0560,0
1740795600000,3.1350,3.1410,3.1340,3.1360,84650,1740795899999,265612.1310,1285,44476,139559.0420,0
1740795900000,3.1360,3.1550,3.1330,3.1520,338671,1740796199999,1066189.9540,2398,250746,789417.9450,0
1740796200000,3.1520,3.1680,3.1480,3.1630,293297,1740796499999,926513.9850,2759,134099,423812.6620,0
1740796500000,3.1630,3.1690,3.1570,3.1580,91447,1740796799999,289188.1930,1606,43495,137559.7470,0
1740796800000,3.1570,3.1660,3.1500,3.1650,141519,1740797099999,446939.5360,1475,90229,285036.0380,0
1740797100000,3.1640,3.1670,3.1500,3.1530,72674,1740797399999,229529.8420,1180,27888,88099.2570,0
1740797400000,3.1540,3.1550,3.1410,3.1510,120941,1740797699999,380743.8600,1431,40554,127696.4030,0
1740797700000,3.1500,3.1500,3.1390,3.1450,77667,1740797999999,244183.4920,981,22843,71826.3050,0
1740798000000,3.1450,3.1550,3.1420,3.1510,89825,1740798299999,282715.2730,1377,40923,128804.5360,0
1740798300000,3.1500,3.1520,3.1330,3.1350,207744,1740798599999,651969.9980,1566,134337,421619.9090,0
1740798600000,3.1350,3.1560,3.1350,3.1500,107580,1740798899999,338507.0390,1377,52219,164279.2450,0
1740798900000,3.1500,3.1540,3.1460,3.1480,74921,1740799199999,235940.1010,1256,31210,98295.9280,0
1740799200000,3.1480,3.1640,3.1470,3.1560,154639,1740799499999,488196.4670,1385,87210,275424.3480,0
1740799500000,3.1560,3.1700,3.1540,3.1680,151195,1740799799999,478204.9700,1400,89807,284081.8540,0
1740799800000,3.1680,3.1700,3.1500,3.1530,158415,1740800099999,500182.4450,1738,47795,150915.2580,0
1740800100000,3.1520,3.1590,3.1470,3.1590,118777,1740800399999,374257.5960,1151,31374,98919.9100,0
1740800400000,3.1590,3.1630,3.1440,3.1460,86246,1740800699999,272000.7670,1212,45757,144376.0160,0
1740800700000,3.1460,3.1490,3.1410,3.1460,114729,1740800999999,360782.1630,1069,42438,133484.6350,0
1740801000000,3.1450,3.1500,3.1380,3.1390,114732,1740801299999,360633.3410,1117,47299,148663.6680,0
1740801300000,3.1380,3.1380,3.1240,3.1310,145938,1740801599999,456831.8010,1331,53187,166453.1390,0
1740801600000,3.1310,3.1420,3.1260,3.1410,156845,1740801899999,491191.7070,1558,85997,269411.1370,0
1740801900000,3.1400,3.1460,3.1340,3.1420,83117,1740802199999,260921.4080,948,31005,97367.4750,0
1740802200000,3.1430,3.1590,3.1370,3.1560,175386,1740802499999,551649.8590,1742,80709,254034.3930,0
1740802500000,3.1560,3.1600,3.1510,3.1600,77707,1740802799999,245282.4100,1163,49679,156804.9840,0
1740802800000,3.1610,3.1640,3.1540,3.1540,85601,1740803099999,270349.9970,1109,33040,104364.4870,0
1740803100000,3.1540,3.1610,3.1500,3.1590,52159,1740803399999,164571.2430,835,30309,95615.7600,0
1740803400000,3.1580,3.1590,3.1450,3.1480,82361,1740803699999,259522.9250,1229,32320,101840.9810,0
1740803700000,3.1470,3.1630,3.1460,3.1630,112460,1740803999999,354640.8860,1464,65245,205706.9050,0
1740804000000,3.1630,3.1680,3.1610,3.1650,81425,1740804299999,257677.9260,1647,42612,134859.2780,0
1740804300000,3.1650,3.1740,3.1570,3.1580,168127,1740804599999,532326.7800,1939,72468,229589.5300,0
1740804600000,3.1580,3.1680,3.1580,3.1660,73133,1740804899999,231315.7040,1060,44422,140510.6670,0
1740804900000,3.1660,3.1760,3.1620,3.1640,189731,1740805199999,601129.1970,1778,71703,227220.2280,0
1740805200000,3.1640,3.1680,3.1560,3.1570,81333,1740805499999,257207.4750,1376,36368,115011.2430,0
1740805500000,3.1570,3.1590,3.1470,3.1560,65132,1740805799999,205440.3100,972,24806,78246.2320,0
1740805800000,3.1560,3.1590,3.1490,3.1500,69937,1740806099999,220647.4820,1024,28072,88583.1940,0
1740806100000,3.1510,3.1560,3.1470,3.1500,86889,1740806399999,273775.0150,1326,38476,121233.5290,0
1740806400000,3.1500,3.1530,3.1400,3.1460,44626,1740806699999,140373.5360,833,13946,43888.3750,0
1740806700000,3.1470,3.1540,3.1440,3.1530,41694,1740806999999,131296.3150,761,24646,77606.5230,0
1740807000000,3.1530,3.1530,3.1400,3.1440,42165,1740807299999,132651.9760,793,18113,56981.5990,0
1740807300000,3.1430,3.1490,3.1390,3.1460,58673,1740807599999,184462.9620,914,29879,93950.6880,0
1740807600000,3.1450,3.1480,3.1280,3.1300,190058,1740807899999,595855.4090,1510,35602,111612.3910,0
1740807900000,3.1290,3.1320,3.1260,3.1280,41271,1740808199999,129160.3760,806,16189,50671.2790,0
1740808200000,3.1280,3.1360,3.1230,3.1260,293707,1740808499999,919269.5890,1940,177225,554716.5990,0
1740808500000,3.1270,3.1280,3.1180,3.1210,120156,1740808799999,375182.0200,1144,35760,111687.9500,0
1740808800000,3.1210,3.1210,3.1100,3.1120,186907,1740809099999,581947.8460,1690,48554,151193.1620,0
1740809100000,3.1120,3.1180,3.1090,3.1090,204109,1740809399999,635383.7700,1558,92633,288405.7470,0
1740809400000,3.1100,3.1130,3.0920,3.0940,390895,1740809699999,1212328.4390,2687,81009,251425.8470,0
1740809700000,3.0940,3.0960,3.0830,3.0850,380123,1740809999999,1174013.7990,2823,146332,452044.4650,0
1740810000000,3.0850,3.0940,3.0780,3.0820,719682,1740810299999,2219737.0030,3160,432486,1333927.4770,0
1740810300000,3.0820,3.0860,3.0680,3.0680,276358,1740810599999,850957.1080,1770,133110,410154.9410,0
1740810600000,3.0690,3.0720,3.0600,3.0690,409161,1740810899999,1254630.0190,2658,260619,799250.3940,0
1740810900000,3.0690,3.0870,3.0620,3.0840,392530,1740811199999,1205169.4550,2532,201637,619553.5280,0
1740811200000,3.0840,3.0920,3.0820,3.0890,105640,1740811499999,326077.4190,1118,64776,199985.1350,0
1740811500000,3.0900,3.0960,3.0810,3.0840,80559,1740811799999,248861.1710,1034,40192,124188.5460,0
1740811800000,3.0840,3.0960,3.0810,3.0930,73294,1740812099999,226369.5130,920,52553,162377.4680,0
1740812100000,3.0920,3.1010,3.0920,3.0940,249531,1740812399999,772891.1580,1697,200141,619944.3860,0
1740812400000,3.0940,3.0960,3.0840,3.0860,80074,1740812699999,247619.5540,1161,42267,130750.4290,0
1740812700000,3.0870,3.0880,3.0810,3.0820,107213,1740812999999,330626.4900,1085,35216,108626.7210,0
1740813000000,3.0820,3.0920,3.0810,3.0840,85574,1740813299999,264205.6050,1107,43052,132944.7870,0
1740813300000,3.0840,3.0870,3.0780,3.0790,49355,1740813599999,152114.1470,999,17741,54675.8620,0
1740813600000,3.0790,3.0870,3.0750,3.0840,48770,1740813899999,150292.7070,936,24531,75624.2200,0
1740813900000,3.0840,3.0870,3.0810,3.0830,28424,1740814199999,87678.1400,711,13442,41468.2210,0
1740814200000,3.0840,3.0890,3.0800,3.0890,67286,1740814499999,207638.4900,1025,49543,152899.8290,0
1740814500000,3.0890,3.0930,3.0750,3.0820,73297,1740814799999,225998.3270,1100,33038,101939.8110,0
1740814800000,3.0810,3.0990,3.0790,3.0900,106781,1740815099999,330248.8200,1259,61468,190098.6900,0
1740815100000,3.0900,3.0940,3.0840,3.0920,51781,1740815399999,159981.5460,942,23970,74067.7290,0
1740815400000,3.0910,3.0960,3.0850,3.0860,29001,1740815699999,89618.2620,567,16632,51401.2140,0
1740815700000,3.0860,3.0860,3.0790,3.0800,62544,1740815999999,192815.7840,845,38995,120212.9110,0
1740816000000,3.0810,3.0950,3.0800,3.0930,73309,1740816299999,226425.7390,1097,38834,119936.8090,0
1740816300000,3.0920,3.0950,3.0910,3.0950,48981,1740816599999,151496.0920,731,31180,96447.5890,0
1740816600000,3.0940,3.0990,3.0920,3.0970,48218,1740816899999,149287.9720,792,29016,89845.2340,0
1740816900000,3.0960,3.1040,3.0950,3.0970,99040,1740817199999,306896.7270,1024,64500,199879.7270,0
1740817200000,3.0970,3.1070,3.0910,3.1060,93761,1740817499999,290362.9780,974,55461,171779.0250,0
1740817500000,3.1050,3.1060,3.1000,3.1020,136076,1740817799999,422196.0930,1097,72558,225148.0210,0
1740817800000,3.1010,3.1060,3.0990,3.1030,80050,1740818099999,248320.2040,829,46198,143344.6670,0
1740818100000,3.1030,3.1030,3.0890,3.0900,44575,1740818399999,137947.4400,745,24039,74401.7400,0
1740818400000,3.0900,3.0950,3.0880,3.0940,53540,1740818699999,165574.9970,874,29853,92333.1170,0
1740818700000,3.0930,3.0940,3.0860,3.0920,39152,1740818999999,120961.1800,867,11801,36464.2280,0
1740819000000,3.0910,3.1020,3.0910,3.0980,50645,1740819299999,156908.3400,780,42040,130238.3550,0
1740819300000,3.0990,3.1060,3.0990,3.1040,49338,1740819599999,153061.8290,557,33094,102681.7820,0
1740819600000,3.1030,3.1110,3.1010,3.1020,69784,1740819899999,216739.8270,950,42776,132862.0510,0
1740819900000,3.1030,3.1060,3.1000,3.1060,56180,1740820199999,174340.2660,739,42991,133419.9710,0
1740820200000,3.1060,3.1150,3.1050,3.1070,60000,1740820499999,186576.1360,853,44961,139808.8970,0
1740820500000,3.1080,3.1180,3.1070,3.1180,74180,1740820799999,230885.8340,818,56524,175944.9830,0
1740820800000,3.1180,3.1210,3.1070,3.1090,54818,1740821099999,170761.0250,752,25580,79696.8440,0
1740821100000,3.1080,3.1130,3.1060,3.1070,34531,1740821399999,107342.0950,662,17297,53768.1130,0
1740821400000,3.1060,3.1100,3.1020,3.1020,60255,1740821699999,187115.2550,806,24980,77577.7040,0
1740821700000,3.1010,3.1100,3.0990,3.1070,49897,1740821999999,154873.3480,721,31608,98119.2850,0
1740822000000,3.1070,3.1070,3.0900,3.0930,105928,1740822299999,327807.1680,1145,35591,110126.6030,0
1740822300000,3.0920,3.0960,3.0860,3.0940,74561,1740822599999,230385.6120,1135,33453,103381.3940,0
1740822600000,3.0950,3.1040,3.0940,3.1030,49165,1740822899999,152377.6300,814,36323,112579.8590,0
1740822900000,3.1030,3.1070,3.1000,3.1040,66680,1740823199999,206959.1750,560,50120,155566.8130,0
