open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1743465600000,124.4700,124.7400,124.3000,124.7300,74061,1743465899999,9217428.2400,6217,41942,5220642.5100,0
1743465900000,124.7300,124.9800,124.6200,124.9200,48160,1743466199999,6011176.4400,4468,29063,3627834.2600,0
1743466200000,124.9300,124.9300,124.3200,124.3200,28992,1743466499999,3611765.4900,2974,10447,1301196.0300,0
1743466500000,124.3200,124.7400,124.1900,124.7200,52978,1743466799999,6588617.7600,4461,29119,3622978.0800,0
1743466800000,124.7200,124.8900,124.6600,124.8000,27857,1743467099999,3475306.5200,2957,16520,2060944.2100,0
1743467100000,124.8000,125.1200,124.7300,124.9400,34003,1743467399999,4249681.2600,3300,13674,1708852.6200,0
1743467400000,124.9400,125.1200,124.7200,124.7900,38785,1743467699999,4843328.9300,3583,21384,2670310.8600,0
1743467700000,124.7900,125.1200,124.7100,125.0700,27744,1743467999999,3465857.6500,2994,16968,2118991.8800,0
1743468000000,125.0700,125.1000,124.7400,124.8000,36567,1743468299999,4566562.7300,3250,12692,1585411.9800,0
1743468300000,124.8000,125.0000,124.4600,124.5500,32935,1743468599999,4107865.7200,3396,13712,1710917.1100,0
1743468600000,124.5500,124.7400,123.9100,124.0500,151342,1743468899999,18802411.5200,11976,70501,8762506.4800,0
1743468900000,124.0700,124.5200,124.0100,124.4300,54367,1743469199999,6757164.3700,7196,32000,3977180.5900,0
1743469200000,124.4300,124.4800,123.9900,124.2800,70988,1743469499999,8817508.9700,7617,24084,2991690.6100,0
1743469500000,124.2800,124.3300,123.8100,123.8600,83477,1743469799999,10354727.6400,8331,24629,3056332.1500,0
1743469800000,123.8700,124.3200,123.6500,124.2800,139158,1743470099999,17241956.5600,10106,89153,11049284.9400,0
1743470100000,124.2700,124.5200,124.1500,124.1500,53717,1743470399999,6680429.3500,6425,22092,2747668.9300,0
1743470400000,124.1600,124.2800,124.0400,124.1700,31406,1743470699999,3899193.8900,4042,13440,1668590.5600,0
1743470700000,124.1800,124.6700,124.1800,124.5000,47246,1743470999999,5880624.7400,5195,24743,3079630.5100,0
1743471000000,124.5000,124.6000,124.1100,124.2400,38955,1743471299999,4842246.8400,4170,17168,2133530.5400,0
1743471300000,124.2400,124.3700,124.0300,124.0400,21206,1743471599999,2632896.3600,2908,10749,1334553.9300,0
1743471600000,124.0400,124.1200,123.8900,124.0500,25849,1743471899999,3205177.5500,3368,10264,1272724.2500,0
1743471900000,124.0500,124.6600,124.0500,124.4800,79438,1743472199999,9888628.5300,6997,43464,5407852.9000,0
1743472200000,124.4900,124.6400,124.3200,124.4400,33550,1743472499999,4176074.7500,3428,22373,2784392.1900,0
1743472500000,124.4400,124.6100,124.4100,124.4200,20643,1743472799999,2570676.7300,2466,9603,1196009.3400,0
1743472800000,124.4100,124.6200,124.3500,124.6000,26921,1743473099999,3350931.3600,3167,14853,1848657.7600,0
1743473100000,124.6000,124.8800,124.5100,124.8200,65334,1743473399999,8149023.4900,5440,30292,3777975.8500,0
